case_id,time_s,xi_m_min,xi_m_max,y_m_min,y_m_max,z_m_min,z_m_max,Temperature_mean,Temperature_max,Temperature Gradient At Tgrdout_mean,Temperature Gradient At Tgrdout_max,Velocity_Magnitude_mean,Velocity_Magnitude_max,Pressure_mean,Pressure_max,Heat Absorption Rate_mean,Heat Absorption Rate_max,Melt Region_mean,Melt Region_min,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min,unique_points
A6-750-8-40000,0.8,-0.00115,0.0010872999999999994,3.5763e-11,0.00076748,-0.0007,0.0006339,1871.5325659189295,3068.2,1374873.577331759,7603200.0,0.13974502555682136,0.6321570891953994,103197.69578905942,105610.0,19059840.834317196,149740000.0,0.8723065112160566,0.125,6,750.0,8.0,0.008,40000.0,8.0,847
A6-750-8-40000,0.9,-0.0010883000000000004,0.0008499999999999992,1.1921e-11,0.00076583,-0.0007,0.00060927,1883.2820265379976,2965.1,1377560.1206272617,6245400.0,0.10639777484249602,0.5190394259292833,103229.85524728589,107290.0,17718402.472858865,150490000.0,0.8824012714113391,0.073484,6,750.0,8.0,0.008,40000.0,8.0,829
A6-750-8-40000,1.0,-0.0010734999999999998,0.0008064000000000005,2.3842e-11,0.00076846,-0.00069999,0.00059959,1884.6204081632654,3059.4,1361628.5534213686,7896200.0,0.10323435291617492,0.44952732130539075,103209.72388955583,107470.0,18107140.696278512,172130000.0,0.8773648379351741,0.12497,6,750.0,8.0,0.008,40000.0,8.0,833
A7-750-8-70000,0.05,-0.00075752,0.0006505,1.2815e-10,0.00068133,-0.00077666,0.00023786,2079.5424271844663,4232.9,2861593.9223300973,12479000.0,0.11057813914326534,0.6888825453449957,102547.8640776699,106000.0,19853177.2815534,163770000.0,0.7489231572815533,0.069872,7,750.0,8.0,0.008,70000.0,14.0,515
A7-750-8-70000,0.1,-0.00097945,0.0007802999999999999,7.7486e-11,0.0007649,-0.00090342,0.00042576,1981.105398773006,3618.0,1987424.6196319018,11175000.0,0.10719572280636358,0.5361174478600749,103396.03067484662,108500.0,17232779.63190184,148360000.0,0.8423797828220859,0.069993,7,750.0,8.0,0.008,70000.0,14.0,815
A7-750-8-70000,0.15,-0.00105,0.0009524000000000002,4.7684e-11,0.00087855,-0.0009,0.00051516,1935.2617676767675,3866.1,1670992.2525252525,11665000.0,0.10977819826980711,0.752631975154524,103276.61212121212,106470.0,11528164.525252525,149540000.0,0.8708007010101011,0.065879,7,750.0,8.0,0.008,70000.0,14.0,990
A7-750-8-70000,0.2,-0.00115,0.0010096,5.9605e-12,0.00085737,-0.00089999,0.00060414,1909.9252814258912,3398.5,1440415.1594746716,9989900.0,0.10190235838922193,0.48455398512446474,103336.72514071295,106230.0,13911662.964352721,150160000.0,0.8901482054409006,0.083012,7,750.0,8.0,0.008,70000.0,14.0,1066
A7-750-8-70000,0.3,-0.0013647999999999998,0.0012500000000000002,2.9894e-09,0.00085,-0.00059986,0.0008238,1849.5824463118581,2776.3,1124996.6984126985,5413200.0,0.15074419487091048,0.6184178148592099,103736.36321195145,109700.0,16006071.93277311,143160000.0,0.9413491316526611,0.125,7,750.0,8.0,0.008,70000.0,14.0,1071
A7-750-8-70000,0.4,-0.0013845,0.0008059999999999999,3.0102e-09,0.00087134,-0.00039997,0.00099604,1822.4037987679671,2668.0,882971.363449692,4670900.0,0.10457299484860696,0.48790881972044736,104025.1386036961,107220.0,18754256.550308008,185730000.0,0.9318691827515401,0.096489,7,750.0,8.0,0.008,70000.0,14.0,974
A7-750-8-70000,0.5,-0.0013555,0.0007499999999999998,1.218e-08,0.00085,-0.00030376,0.00105,1834.651526717557,2769.7,986611.2584514722,6247600.0,0.1163753084416436,0.7671532849202954,104218.21701199564,109460.0,19754677.47219193,171800000.0,0.9403377262813523,0.125,7,750.0,8.0,0.008,70000.0,14.0,917
